补肾壮阳,九芝堂 六味地黄丸（浓缩丸）360丸 治肾亏不含糖 滋阴补肾 骨蒸潮热 头晕耳鸣 腰膝酸软 盗汗遗精 三百年好品质 信赖九芝堂,30.00,970000,九芝堂360丸,九芝堂,腰膝酸软，头晕耳鸣，盗汗,肾阴亏
补肾壮阳,同仁堂 五子衍宗丸 60g/瓶 补肾益精 用于 肾虚精亏所致的阳痿不育遗精早泄腰痛尿后余沥,26.00,1510000,同仁堂60g*1瓶/盒,同仁堂（TRT）,腰痛,阳痿不育
补肾壮阳,济民可信金水宝胶囊72粒 虫草菌粉补肾虚补肺虚 中药抗疲劳乏力 咳喘腰酸健忘身体虚,45.00,180000,济民可信济民可信 金水宝胶囊 9粒*8板,济民可信,空,其它
补肾壮阳,九芝堂 桂附地黄丸（浓缩丸）360丸 补肾壮阳男性药肾虚腰膝酸软肢冷尿频滋补药品,39.80,970000,九芝堂桂附地黄丸,九芝堂,腰膝酸软,其它
补肾壮阳,同仁堂 壮腰健肾丸 5.6g*10丸 壮腰健肾养血祛风湿 北京同仁堂 肾虚肾亏补肾肾宝,16.00,43000,同仁堂5.6g*10丸,同仁堂（TRT）,空,空
补肾壮阳,同仁堂 五子衍宗丸 9g*10丸 补肾益精阳痿不育遗精早泄药 北京同仁堂,26.00,74000,同仁堂五子衍宗丸9克*10丸,同仁堂（TRT）,腰痛，尿后余淋,阳痿不育
补肾壮阳,仲景 六味地黄丸(浓缩丸)360丸*2瓶/盒 中药滋阴补肾腰膝酸软男女同补,68.00,250000,仲景六味地黄丸,仲景,腰膝酸软，头晕耳鸣，盗汗,肾阴亏
补肾壮阳,同仁堂 知柏地黄丸（水蜜丸）360丸 滋阴降火 北京同仁堂 降火盗汗耳鸣成人清火中药 上火药降火药,18.00,66000,同仁堂360粒,同仁堂（TRT）,耳鸣,空
补肾壮阳,前列康 康恩贝 普乐安片 0.57g*150片 补肾固本肾气不固腰膝酸软,42.00,420000,前列康前列康 普乐安片 0.57g*150片,前列康,空,其它
补肾壮阳,济民可信金水宝胶囊108粒 虫草菌粉补肾虚补肺虚 中药抗疲劳乏力 咳喘腰酸健忘身体虚精气不足,88.00,180000,济民可信金水宝胶囊9粒*12板,济民可信,空,其它
